id,word,label
1,2 girls 1 cup,1
2,2g1c,1
3,4r5e,1
4,5h1t,1
5,5hit,1
6,a,0
7,a_s_s,1
8,a+,0
9,a$$,1
10,a$$hole,1
11,a2m,1
12,a54,1
13,a55,1
14,a55hole,1
15,abound,0
16,abounds,0
17,abundance,0
18,abundant,0
19,accessable,0
20,accessible,0
21,acclaim,0
22,acclaimed,0
23,acclamation,0
24,accolade,0
25,accolades,0
26,accommodative,0
27,accomodative,0
28,accomplish,0
29,accomplished,0
30,accomplishment,0
31,accomplishments,0
32,accurate,0
33,accurately,0
34,achievable,0
35,achievement,0
36,achievements,0
37,achievible,0
38,action,0
39,acumen,0
40,adaptable,0
41,adaptive,0
42,adequate,0
43,adjustable,0
44,admirable,0
45,admirably,0
46,admiration,0
47,admire,0
48,admirer,0
49,admiring,0
50,admiringly,0
51,adorable,0
52,adore,0
53,adored,0
54,adorer,0
55,adoring,0
56,adoringly,0
57,adroit,0
58,adroitly,0
59,adulate,0
60,adulation,0
61,adulatory,0
62,advanced,0
63,advantage,0
64,advantageous,0
65,advantageously,0
66,advantages,0
67,adventuresome,0
68,adventurous,0
69,advocate,0
70,advocated,0
71,advocates,0
72,aeolus,1
73,affability,0
74,affable,0
75,affably,0
76,affectation,0
77,affection,0
78,affectionate,0
79,affinity,0
80,affirm,0
81,affirmation,0
82,affirmative,0
83,affluence,0
84,affluent,0
85,afford,0
86,affordable,0
87,affordably,0
88,afordable,0
89,agile,0
90,agilely,0
91,agility,0
92,agreeable,0
93,agreeableness,0
94,agreeably,0
95,ahole,1
96,alabama hot pocket,1
97,alaskan pipeline,1
98,albert,0
99,all-around,0
100,alluring,0
101,alluringly,0
102,altruistic,0
103,altruistically,0
104,amaze,0
105,amazed,0
106,amazement,0
107,amazes,0
108,amazing,0
109,amazingly,0
110,ambitious,0
111,ambitiously,0
112,ameliorate,0
113,amenable,0
114,amenity,0
115,amiability,0
116,amiabily,0
117,amiable,0
118,amicability,0
119,amicable,0
120,amicably,0
121,amity,0
122,ample,0
123,amply,0
124,amuse,0
125,amusing,0
126,amusingly,0
127,anal,1
128,anal impaler,1
129,anal leakage,1
130,analannie,1
131,analprobe,1
132,analsex,1
133,and,0
134,angel,0
135,angelic,0
136,anilingus,1
137,anus,1
138,apeshit,1
139,apotheosis,0
140,appeal,0
141,appealing,0
142,applaud,0
143,appreciable,0
144,appreciate,0
145,appreciated,0
146,appreciates,0
147,appreciative,0
148,appreciatively,0
149,appropriate,0
150,approval,0
151,approve,0
152,ar5e,1
153,ardent,0
154,ardently,0
155,ardor,0
156,areola,1
157,areole,1
158,arian,1
159,arrse,1
160,arse,1
161,arsehole,1
162,articulate,0
163,aryan,1
164,aspiration,0
165,aspirations,0
166,aspire,0
167,ass,0
168,ass fuck,1
169,ass hole,1
170,ass-fucker,1
171,assault,1
172,assbag,1
173,assfuck,1
174,assfucker,1
175,assfukka,1
176,assh0le,1
177,assho1e,1
178,asshole,1
179,assholes,1
180,asshore,1
181,assnigger,1
182,assshit,1
183,assshole,1
184,assurance,0
185,assurances,0
186,assure,0
187,assuredly,0
188,assuring,0
189,astonish,0
190,astonished,0
191,astonishing,0
192,astonishingly,0
193,astonishment,0
194,astound,0
195,astounded,0
196,astounding,0
197,astoundingly,0
198,astutely,0
199,attentive,0
200,attraction,0
201,attractive,0
202,attractively,0
203,attune,0
204,audible,0
205,audibly,0
206,auspicious,0
207,authentic,0
208,authoritative,0
209,auto,0
210,auto erotic,1
211,autoerotic,1
212,autonomous,0
213,available,0
214,aver,0
215,avid,0
216,avidly,0
217,award,0
218,awarded,0
219,awards,0
220,awe,0
221,awed,0
222,awesome,0
223,awesomely,0
224,awesomeness,0
225,awestruck,0
226,awsome,0
227,axe,0
228,axwound,1
229,azazel,1
230,azz,1
231,b!tch,1
232,b00bs,1
233,b17ch,1
234,b1tch,1
235,baby,0
236,baby batter,1
237,babyjuice,1
238,backbone,0
239,badfuck,1
240,bag,1
242,bait,0
243,balanced,0
244,ball,0
245,ball gag,1
246,ball gravy,1
247,ball kicking,1
248,ball licking,1
249,ball sack,1
250,ball sucking,1
251,ballbag,1
252,balllicker,1
254,balls,1
255,ballsack,1
256,bampot,1
257,bang,1
260,bang (one's) box,1
261,bangbros,1
262,banging,1
263,bare,0
264,bareback,1
266,barely,0
267,barely legal,1
268,barenaked,1
269,barf,1
270,barface,1
271,barfface,1
272,bargain,0
273,bastard,0
274,bastardo,0
275,bastards,0
276,bastinado,1
277,batter,0
278,batty,0
279,batty boy,1
280,bawdy,1
281,bazongas,1
282,bazooms,1
283,bbw,1
284,bdsm,1
285,bean,0
286,beaner,1
287,beaners,1
288,beard,0
289,beardedclam,1
290,beast,0
291,beastial,1
292,beastiality,1
293,beat,0
294,beatch,1
295,beatyourmeat,1
296,beauteous,0
297,beautiful,0
298,beautifullly,0
299,beautifully,0
300,beautify,0
301,beauty,0
302,beaver,1
304,beaver cleaver,1
305,beaver lips,1
306,beckon,0
307,beckoned,0
308,beckoning,0
309,beckons,0
310,beef,0
311,beef curtain,1
312,beef curtains,1
313,beeyotch,1
314,believable,0
315,believeable,0
316,bell,0
317,bellend,1
318,beloved,0
319,bender,1
321,benefactor,0
322,beneficent,0
323,beneficial,0
324,beneficially,0
325,beneficiary,0
326,benefit,0
327,benefits,0
328,benevolence,0
329,benevolent,0
330,benifits,0
331,beotch,1
332,berry,0
333,best,0
334,best-known,0
335,best-performing,0
336,best-selling,0
337,bestial,1
338,bestiality,1
339,better,0
340,better-known,0
341,better-than-expected,0
342,beutifully,0
343,bi+ch,1
344,biatch,1
345,bicurious,1
346,big,0
347,big black,1
348,big breasts,1
349,big knockers,1
350,big tits,1
351,bigbastard,1
352,bigbutt,1
353,bigtits,1
354,bimbo,1
355,bimbos,1
356,bint,1
357,birdlock,1
358,bitch,1
359,bitch tit,1
360,bitchass,1
361,bitched,1
362,bitcher,1
363,bitchers,1
364,bitches,1
365,bitchez,1
366,bitchin,1
367,bitching,1
368,bitchtits,1
369,bitchy,1
370,bite,0
373,black cock,1
374,blameless,0
375,bless,0
376,blessing,0
377,bliss,0
378,blissful,0
379,blissfully,0
380,blithe,0
381,block,0
382,blockbuster,0
383,blonde,0
384,blonde action,1
385,blonde on blonde action,1
386,blood,0
387,bloodclaat,1
388,bloody,0
389,bloody hell,1
390,bloom,0
391,blossom,0
392,blow,0
393,blow job,1
394,blow me,1
395,blow mud,1
396,blow your load,1
397,blowjob,1
398,blowjobs,1
399,blue,0
400,blue waffle,1
401,blumpkin,1
402,boang,1
403,bod,1
404,bodily,1
405,bogan,1
406,bohunk,1
407,boink,1
408,boiolas,1
409,bollick,1
410,bollock,1
411,bollocks,1
412,bollok,1
413,bollox,1
414,bolster,0
415,bomd,1
416,bondage,1
418,bone,1
420,boned,1
421,boner,1
423,boners,1
424,bong,1
425,bonny,0
426,bonus,0
427,bonuses,0
428,boobies,1
429,booby,1
430,booger,1
431,bookie,1
432,boom,0
